state,district,fy_2022_obligations,fy_2023_obligations,fy_2024_obligations
AK,AK-00,5021.0,32974.0,0.0
AL,AL-01,0.0,14271.0,0.0
AL,AL-02,0.0,0.0,0.0
AL,AL-03,22347.0,76415.5,46606.75
AL,AL-04,0.0,0.0,0.0
AL,AL-05,447091314.65,384626352.03,405314583.96
AL,AL-06,13701.7,0.0,0.0
AL,AL-07,0.0,0.0,0.0
AR,AR-01,0.0,0.0,0.0
AR,AR-02,0.0,0.0,0.0
AR,AR-03,0.0,0.0,0.0
AR,AR-04,0.0,0.0,0.0
AZ,AZ-01,47920.0,0.0,65028.0
AZ,AZ-02,0.0,0.0,22450.0
AZ,AZ-03,19207.5,0.0,249481.16
AZ,AZ-04,943374.96,860.26,35090.0
AZ,AZ-05,0.0,0.0,30032.58
AZ,AZ-06,0.0,0.0,0.0
AZ,AZ-07,402793.0,115288.0,0.0
AZ,AZ-08,93345.42,273237.63,66120.0
AZ,AZ-09,0.0,0.0,0.0
CA,CA-01,0.0,0.0,0.0
CA,CA-02,64738.28,25350.0,26000.0
CA,CA-03,39500.0,15650.0,0.0
CA,CA-04,14621673.24,7035089.98,286072.85
CA,CA-05,0.0,0.0,0.0
CA,CA-06,11572.83,0.0,0.0
CA,CA-07,0.0,0.0,0.0
CA,CA-08,54727.29,45233.98,0.0
CA,CA-09,0.0,0.0,0.0
CA,CA-10,0.0,40565.14,0.0
CA,CA-11,72000.0,31980.0,0.0
CA,CA-12,-30584.16,0.0,1000000.0
CA,CA-13,0.0,0.0,20057.0
CA,CA-14,27842.5,0.0,36995.0
CA,CA-15,432969.44,192428.35,247699.01
CA,CA-16,12766702.17,28089119.68,26646260.81
CA,CA-17,8326440.93,7875610.56,3601532.25
CA,CA-18,277117395.4,208897235.67,204123013.65
CA,CA-19,550691.83,814705.96,74634.8
CA,CA-20,39300661.97,36861694.84,26617397.69
CA,CA-21,0.0,0.0,0.0
CA,CA-22,0.0,0.0,0.0
CA,CA-23,11723.73,556290.21,3502881.13
CA,CA-24,1802391.0,442595.0,406093.93
CA,CA-25,0.0,0.0,0.0
CA,CA-26,-50.0,165188.48,83776.0
CA,CA-27,68129430.65,22312259.83,49677553.2
CA,CA-28,10695761.0,9363374.0,11384594.0
CA,CA-29,161656.0,38990.0,145906.0
CA,CA-30,0.0,18042.26,0.0
CA,CA-31,0.0,0.0,25668.14
CA,CA-32,280500.0,75168.0,19750.0
CA,CA-33,0.0,71906.12,0.0
CA,CA-34,0.0,0.0,0.0
CA,CA-35,32040.0,17816.0,13826.89
CA,CA-36,784826.55,3494987.98,6487758.9
CA,CA-37,0.0,14000.0,14000.0
CA,CA-38,34148.33,9696.0,36045.44
CA,CA-39,0.0,62253.44,71800.54
CA,CA-40,65051.89,72581.15,45065.12
CA,CA-41,58450.0,0.0,0.0
CA,CA-42,0.0,0.0,10310.0
CA,CA-43,90765.23,0.0,0.0
CA,CA-44,189238.0,460240.22,168811.0
CA,CA-45,127531.94,337534.52,159836.7
CA,CA-46,45463.57,-200.0,81728.0
CA,CA-47,1831085.72,867354.32,189495.84
CA,CA-48,369749.0,94617.0,196902.0
CA,CA-49,33424.0,46053.78,39728.8
CA,CA-50,2318098.43,2526804.94,556167.36
CA,CA-51,80865.9,286586.0,242710.1
CA,CA-52,3477954.07,-946000.0,1291105.0
CO,CO-01,0.0,149950.0,0.0
CO,CO-02,666475.43,861089.64,310269.0
CO,CO-03,0.0,0.0,0.0
CO,CO-04,0.0,23760.0,0.0
CO,CO-05,650071.59,509115.52,353089.35
CO,CO-06,0.0,25226.67,143117.1
CO,CO-07,647795.11,903798.93,724595.84
CO,CO-08,0.0,0.0,0.0
CT,CT-01,6615532.97,6455184.81,2882755.78
CT,CT-02,1679918.52,117457.28,13780.98
CT,CT-03,10000.0,15660.0,28234.34
CT,CT-04,503092.0,471992.35,243599.98
CT,CT-05,1981225.35,-46279.65,0.0
DE,DE-00,2913744.91,3677888.96,1056731.2
FL,FL-01,59675.0,107135.0,0.0
FL,FL-02,2068506.0,2041241.0,3429909.21
FL,FL-03,149364.0,20737.61,19950.31
FL,FL-04,0.0,0.0,0.0
FL,FL-05,0.0,19800.0,18030.0
FL,FL-06,-506.03,320000.0,140000.0
FL,FL-07,51478.0,68026.79,0.0
FL,FL-08,138283767.33,114809964.93,99614477.15
FL,FL-09,0.0,0.0,0.0
FL,FL-10,2016297.25,2812398.63,3419235.87
FL,FL-11,0.0,0.0,0.0
FL,FL-12,0.0,0.0,0.0
FL,FL-13,0.0,0.0,50070.0
FL,FL-14,184898.15,25232.6,0.0
FL,FL-15,28131.6,0.0,93710.0
FL,FL-16,14886.7,0.0,0.0
FL,FL-17,14040.0,14742.0,15036.84
FL,FL-18,0.0,0.0,0.0
FL,FL-19,25000.0,37415.0,25000.0
FL,FL-20,10695.1,0.0,0.0
FL,FL-21,0.0,0.0,0.0
FL,FL-22,0.0,0.0,0.0
FL,FL-23,0.0,0.0,13719.0
FL,FL-24,1100.0,0.0,10355.0
FL,FL-25,0.0,0.0,0.0
FL,FL-26,57828.0,23828.0,0.0
FL,FL-27,0.0,0.0,22300.0
FL,FL-28,0.0,53456.4,34013.86
GA,GA-01,74493.75,387262.35,10683.25
GA,GA-02,0.0,0.0,0.0
GA,GA-03,1430.0,160.0,160.0
GA,GA-04,1220331.0,1499118.0,40250.0
GA,GA-05,4776079.11,2640441.19,5502564.26
GA,GA-06,-3.77,0.0,0.0
GA,GA-07,386432.0,661645.0,0.0
GA,GA-08,0.0,0.0,0.0
GA,GA-09,0.0,0.0,14294.55
GA,GA-10,0.0,34318.0,0.0
GA,GA-11,118997.83,169000.0,142300.0
GA,GA-12,0.0,0.0,0.0
GA,GA-13,15249.54,0.0,-732.09
GA,GA-14,183000.0,189903.0,105000.0
HI,HI-01,-4945.97,0.0,0.0
HI,HI-02,0.0,0.0,0.0
IA,IA-01,0.0,64982.42,106648.9
IA,IA-02,275047.0,30659.75,-128.71
IA,IA-03,0.0,0.0,470426.19
IA,IA-04,-28.78,85234.54,44999.12
ID,ID-01,49275.0,110691.0,66726.0
ID,ID-02,0.0,149715.0,0.0
IL,IL-01,0.0,0.0,0.0
IL,IL-02,0.0,0.0,0.0
IL,IL-03,6141.0,0.0,12625.48
IL,IL-04,89649.0,0.0,0.0
IL,IL-05,0.0,23500.0,0.0
IL,IL-06,23975.0,31852.4,172440.0
IL,IL-07,135828.0,60000.0,213000.0
IL,IL-08,0.0,0.0,0.0
IL,IL-09,19256.75,0.0,0.0
IL,IL-10,16451.73,0.0,0.0
IL,IL-11,49501.86,0.0,0.0
IL,IL-12,0.0,0.0,0.0
IL,IL-13,3684335.39,3432903.0,4056045.0
IL,IL-14,0.0,0.0,33233.44
IL,IL-15,0.0,0.0,0.0
IL,IL-16,0.0,0.0,0.0
IL,IL-17,0.0,0.0,0.0
IN,IN-01,0.0,0.0,0.0
IN,IN-02,287040.26,719270.0,2286206.0
IN,IN-03,27150.0,0.0,0.0
IN,IN-04,1046962.34,1233426.95,63900.0
IN,IN-05,0.0,57873.5,0.0
IN,IN-06,0.0,0.0,0.0
IN,IN-07,281248.23,224020.27,0.0
IN,IN-08,41500.0,0.0,10703.5
IN,IN-09,0.0,0.0,0.0
KS,KS-01,0.0,40000.0,24999.0
KS,KS-02,1097628.0,1232070.0,2094384.8
KS,KS-03,7558095.5,4101887.3,613219.4
KS,KS-04,6802048.25,8041807.99,8618497.67
KY,KY-01,13533.0,0.0,0.0
KY,KY-02,0.0,0.0,0.0
KY,KY-03,369873.0,319554.12,-137.06
KY,KY-04,0.0,0.0,0.0
KY,KY-05,0.0,0.0,0.0
