state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
AK,AK-00,69800.00,51299.00,0.00
AL,AL-03,700000.00,1035000.00,85911.00
AL,AL-04,27426.00,59850.00,161770.00
AL,AL-05,1923585964.89,1980927437.09,2345310485.10
AL,AL-06,0.00,0.00,13204.72
AL,AL-07,0.00,-7948.21,0.00
AR,AR-02,0.00,0.00,0.00
AS,AS-00,0.00,0.00,0.00
AZ,AZ-01,0.00,0.00,144513.00
AZ,AZ-02,0.00,13500.00,0.00
AZ,AZ-03,1298337.83,2978151.00,991946.16
AZ,AZ-04,2438706.71,672141.26,174142.81
AZ,AZ-06,4225.00,0.00,61115.00
AZ,AZ-07,2160292.23,879312.35,1570620.20
AZ,AZ-08,2289068.38,0.00,201098.00
AZ,AZ-09,0.00,44101.00,0.00
CA,CA-01,0.00,0.00,375000.00
CA,CA-02,370079.00,28050.00,35916.38
CA,CA-03,0.00,16140.00,15230.00
CA,CA-04,0.00,24600.00,0.00
CA,CA-07,66790.00,0.00,0.00
CA,CA-09,0.00,98730.00,0.00
CA,CA-10,34668.00,0.00,0.00
CA,CA-11,-29854.29,22385.00,0.00
CA,CA-12,251832.00,85000.00,179989.00
CA,CA-15,564658.00,81795.00,96431.27
CA,CA-16,179314681.83,221285241.79,107281729.73
CA,CA-17,1466778.94,1445044.28,3097935.49
CA,CA-18,186375442.17,11995008.90,12976099.29
CA,CA-19,404914.00,0.00,38435.40
CA,CA-20,0.00,0.00,-2786.98
CA,CA-23,-25438.00,33179.10,65625.00
CA,CA-24,670380.61,91925.00,124607.62
CA,CA-26,12479.00,-33500.00,0.00
CA,CA-27,50979.65,117647.00,155341.77
CA,CA-28,22202471.37,37450613.78,64595474.18
CA,CA-29,147277.40,0.00,114630.00
CA,CA-30,43446.52,0.00,0.00
CA,CA-31,0.00,51040.00,0.00
CA,CA-32,345735331.00,367389721.92,295769100.44
CA,CA-34,16593.64,763820.06,0.00
CA,CA-35,0.00,120000.00,0.00
CA,CA-36,25270052.51,31715476.79,38738436.87
CA,CA-37,0.00,30939.88,0.00
CA,CA-38,40365.75,0.00,0.00
CA,CA-39,0.00,0.00,56500.00
CA,CA-40,203670.54,176891.82,118996.30
CA,CA-42,-70100.00,0.00,286522.00
CA,CA-43,992126360.64,788701467.29,258044455.44
CA,CA-44,109379.68,-30939.88,24998.00
CA,CA-45,290251.75,285864.25,257263.00
CA,CA-46,78297.00,0.00,0.00
CA,CA-47,306743.05,116777.73,132099.05
CA,CA-50,465960.69,893489.98,199712.52
CA,CA-51,95134.01,63160.00,389326.25
CO,CO-02,540997319.18,563493263.03,8047078.20
CO,CO-04,437744530.26,402285249.46,341222901.99
CO,CO-05,182677.90,145874.54,129427.30
CO,CO-06,22137.00,40555.68,221190.00
CO,CO-07,979474744.55,1013344840.27,1011651365.76
CO,CO-08,549807.00,591908.00,4847152.00
CT,CT-01,4869806.57,1610797.09,4274446.18
CT,CT-02,0.00,0.00,703.33
CT,CT-03,1878184.00,1026540.00,1213837.61
CT,CT-04,52118.00,43149.00,0.00
CT,CT-05,54557.35,213885.00,166235.00
DC,DC-00,18973661.10,12101076.96,17313929.82
DE,DE-00,224200.81,197497.88,1027541.19
FL,FL-01,14673193.07,18474790.36,17909121.83
FL,FL-02,18114.75,0.00,0.00
FL,FL-03,-243.19,-7283.54,24875.00
FL,FL-04,92000.00,-13400.00,0.00
FL,FL-05,38674.00,8523.00,0.00
FL,FL-06,0.00,0.00,-1.60
FL,FL-07,-47520.00,156979.00,34029.10
FL,FL-08,230244693.97,143357760.62,132417901.52
FL,FL-09,0.00,0.00,-4219.53
FL,FL-10,628262.00,585171.33,25000.00
FL,FL-12,26636.00,0.00,0.00
FL,FL-14,0.00,0.00,27734.15
FL,FL-15,199400.00,190978.00,96300.00
FL,FL-20,1830086.56,1620567.00,10296.00
FL,FL-21,23586299.02,22429400.00,15369348.30
FL,FL-23,10444.75,0.00,0.00
FL,FL-25,0.00,66040.00,107494.96
FL,FL-26,205976.33,224034.08,239340.47
FL,FL-27,266705.00,59200.00,32000.00
FL,FL-28,0.00,0.00,13050.00
GA,GA-01,0.00,12500.00,0.00
GA,GA-04,33973.08,0.00,206775.00
GA,GA-05,957524.94,700000.00,1265529.00
GA,GA-07,21082.36,-11898.00,0.00
GA,GA-08,31864.00,0.00,0.00
GA,GA-09,0.00,0.00,18511.00
GA,GA-10,-1941.07,0.00,0.00
GA,GA-11,12569.69,3080.00,17700.00
GU,GU-00,0.00,0.00,0.00
IA,IA-01,3579.16,0.00,0.00
IA,IA-04,321949.61,463343.68,48705.31
ID,ID-01,0.00,0.00,0.00
IL,IL-03,192854.10,0.00,0.00
IL,IL-05,0.00,0.00,0.00
IL,IL-06,1994753.29,308754.80,0.00
IL,IL-07,0.00,28195.00,82170.60
IL,IL-08,23046.17,4388.00,7406.10
IL,IL-09,0.00,85608.00,0.00
IL,IL-10,73318.40,0.00,0.00
IL,IL-11,21600.00,0.00,-2700.00
IL,IL-13,0.00,0.00,0.00
IN,IN-03,474642.73,545507.00,854345.00
IN,IN-04,547963.00,289257.00,494175.02
IN,IN-05,0.00,0.00,0.00
IN,IN-07,131687.74,35528.40,139563.00
IN,IN-08,0.00,119461.00,0.00
IN,IN-09,750000.00,0.00,4999929.17
KS,KS-01,0.00,11000.00,222292.00
KS,KS-02,9674.00,8921.00,10740.00
KS,KS-03,12278.27,0.00,0.00
KS,KS-04,69669.72,23000.00,24000.00
KY,KY-03,534178.78,-29700.00,273397.53
KY,KY-04,0.00,15237.86,0.00
KY,KY-05,0.00,0.00,0.00
KY,KY-06,75151.00,0.00,0.00
LA,LA-01,4917257.46,4926730.98,5885895.70
LA,LA-02,0.00,25715.06,24866198.56
LA,LA-05,70296.20,0.00,151946.41
LA,LA-06,0.00,29385.90,94585.00
MA,MA-01,0.00,50000.00,0.00
MA,MA-02,434927.95,12727.00,516325.80
MA,MA-03,18467.10,154559.33,1660517.28
MA,MA-04,381849.05,11018.00,116852.00
MA,MA-05,1975125.21,1691436.82,3247582.08
MA,MA-06,1214024.84,1226224.00,515030.00
MA,MA-07,5734981.04,6004128.05,8590149.55
MA,MA-08,61901.44,2948.28,159715.00
MA,MA-09,0.00,27052.00,0.00
MD,MD-01,847000.00,0.00,0.00
MD,MD-02,14060.10,0.00,0.00
MD,MD-03,81924865.09,104679300.99,118643121.93
MD,MD-04,19175847.80,13378994.53,15852830.37
MD,MD-05,6872547.34,624348.09,314246.58
MD,MD-06,0.00,144806.86,0.00
MD,MD-07,-8251.70,600000.00,999878.15
MD,MD-08,5247102.83,1610074.97,1900905.25
ME,ME-01,0.00,10000.00,-2638.25
MI,MI-01,0.00,33130.00,0.00
MI,MI-02,0.00,30686.38,0.00
MI,MI-04,500.00,0.00,3000.00
MI,MI-05,0.00,54671.00,0.00
MI,MI-06,106998.40,36623.00,40748.00
MI,MI-07,0.00,0.00,999329.52
MI,MI-10,0.00,-4670.50,114292.72
MI,MI-11,500523.59,911440.25,359276.00
MI,MI-12,4000.00,26856.00,0.00
MI,MI-13,16083.23,0.00,3896.33
MN,MN-01,-13283.00,0.00,13826.17
MN,MN-02,0.00,0.00,135645.00
MN,MN-03,733050.50,308007.57,614520.91
MN,MN-04,106530.00,0.00,0.00
MN,MN-05,19562.74,34020.23,0.00
MN,MN-08,12542.16,25975.28,0.00
MO,MO-01,495000.00,600000.00,0.00
MO,MO-02,0.00,1250.00,0.00
MO,MO-05,23509.80,0.00,0.00
MP,MP-00,0.00,0.00,0.00
MS,MS-01,0.00,83960.00,85650.00
MS,MS-03,0.00,2518187.76,14178374.79
MS,MS-04,95573034.59,78237928.14,52294203.61
