state,district,fy_2022_obligations,fy_2023_obligations,fy_2024_obligations
AK,AK-00,-143744.57,386417.0,0.0
AL,AL-01,53635.8,0.0,0.0
AL,AL-02,25000.0,0.0,260800.0
AL,AL-03,22795.18,91092.89,3926900.69
AL,AL-04,6959.0,158366.0,222050.0
AL,AL-05,1474140171.92,1274959999.08,1076395812.08
AL,AL-06,0.0,0.0,20053.0
AL,AL-07,89602.0,98716.0,60032.69
AR,AR-01,0.0,0.0,0.0
AR,AR-02,0.0,0.0,0.0
AR,AR-03,0.0,0.0,0.0
AR,AR-04,0.0,0.0,0.0
AZ,AZ-01,12995.0,0.0,182114.87
AZ,AZ-02,0.0,0.0,22450.0
AZ,AZ-03,0.0,0.0,0.0
AZ,AZ-04,817858.9,63877.68,35910.3
AZ,AZ-05,5987423.0,29508591.13,19040000.0
AZ,AZ-06,0.0,7675.0,0.0
AZ,AZ-07,411694.0,493463.0,392374.0
AZ,AZ-08,150327.0,243395.97,97642.84
AZ,AZ-09,0.0,0.0,0.0
CA,CA-01,0.0,0.0,0.0
CA,CA-02,115508.59,175523.37,14107.5
CA,CA-03,35977.0,0.0,0.0
CA,CA-04,14657197.24,7062121.9,0.0
CA,CA-05,0.0,0.0,0.0
CA,CA-06,29148.04,0.0,45358.5
CA,CA-07,32282.68,63000.0,31500.0
CA,CA-08,55200.0,0.0,9497.0
CA,CA-09,0.0,0.0,0.0
CA,CA-10,0.0,0.0,0.0
CA,CA-11,103401.0,81423.99,25000.0
CA,CA-12,2224900.0,1235100.99,2131226.0
CA,CA-13,210738.0,0.0,0.0
CA,CA-14,1016023.26,115718.0,373555.37
CA,CA-15,5548718.51,981466.53,239726.64
CA,CA-16,20727107.78,34004606.26,43322107.66
CA,CA-17,7690769.6,9659645.17,6989356.25
CA,CA-18,293715135.85,247989219.72,246759429.04
CA,CA-19,260928.0,784621.42,25338.75
CA,CA-20,60772449.37,76845373.95,68289538.95
CA,CA-21,0.0,0.0,0.0
CA,CA-22,0.0,0.0,0.0
CA,CA-23,2420191.73,3384397.16,6751058.01
CA,CA-24,382891.35,1144206.05,1695870.05
CA,CA-25,0.0,0.0,0.0
CA,CA-26,751972.91,3163741.14,841914.5
CA,CA-27,51636.79,41111.0,29264.75
CA,CA-28,178114972.01,190877807.18,167101421.1
CA,CA-29,192010.0,107824.0,76234.0
CA,CA-30,13692.64,13692.64,0.0
CA,CA-31,5516714.0,24946400.79,13719752.0
CA,CA-32,27000.0,86867.99,-1147.54
CA,CA-33,0.0,57607.0,56576.0
CA,CA-34,218774.96,17100.0,0.0
CA,CA-35,1078440.0,70867.25,-13402.0
CA,CA-36,179589680.19,103539059.08,67498853.75
CA,CA-37,-110000.0,0.0,0.0
CA,CA-38,26169.48,56937.91,2239.0
CA,CA-39,0.0,0.0,0.0
CA,CA-40,250790.51,139798.04,229495.0
CA,CA-41,0.0,0.0,0.0
CA,CA-42,2955000.0,35380.0,1290437.0
CA,CA-43,72950.0,0.0,0.0
CA,CA-44,254363.75,75685.0,0.0
CA,CA-45,139800.37,403794.51,188896.73
CA,CA-46,481324.12,495804.5,332596.0
CA,CA-47,865010.19,1670536.81,742671.5
CA,CA-48,634214.0,1039280.0,1723600.0
CA,CA-49,46751.7,80333.6,0.0
CA,CA-50,3065027.18,572815.22,2220504.82
CA,CA-51,1006974.54,882596.3,1224953.07
CA,CA-52,0.0,0.0,0.0
CO,CO-01,644251.0,1834800.0,2129988.09
CO,CO-02,87033711.31,94126700.43,101683452.02
CO,CO-03,0.0,0.0,1050345.0
CO,CO-04,526596609.78,437842704.14,402357761.46
CO,CO-05,800672.27,217820.4,893380.01
CO,CO-06,595855.45,1922214.85,785547.84
CO,CO-07,45925292.44,22362644.28,103641549.19
CO,CO-08,0.0,44250.0,1935200.0
CT,CT-01,1039463.09,444934.79,1144924.95
CT,CT-02,2071000.0,0.0,0.0
CT,CT-03,1953600.0,337662.41,-49741.83
CT,CT-04,2958778.89,3258376.04,969557.0
CT,CT-05,2059405.55,-49079.65,468762.52
DE,DE-00,6907408.8,7370639.63,3524038.25
FL,FL-01,478210.0,331125.0,307942.0
FL,FL-02,0.0,0.0,0.0
FL,FL-03,300000.0,0.0,740912.88
FL,FL-04,0.0,43268.0,0.0
FL,FL-05,0.0,92865.0,0.0
FL,FL-06,0.0,241088.07,150000.0
FL,FL-07,297331.53,172634.8,133794.77
FL,FL-08,654806945.26,490248540.64,373669761.39
FL,FL-09,0.0,0.0,13885.48
FL,FL-10,56000.0,0.0,65000.0
FL,FL-11,16847.09,17446.0,0.0
FL,FL-12,13020.0,0.0,0.0
FL,FL-13,16107.0,45569.0,117750.0
FL,FL-14,230413.52,63495.4,81722.13
FL,FL-15,90020.69,268476.0,572718.0
FL,FL-16,0.0,0.0,0.0
FL,FL-17,0.0,0.0,104809.9
FL,FL-18,0.0,0.0,0.0
FL,FL-19,25000.0,25000.0,25000.0
FL,FL-20,452614.6,198418.55,38352.0
FL,FL-21,64433.0,401279.38,66851.0
FL,FL-22,63696.21,15000.0,0.0
FL,FL-23,35689.05,177000.0,0.0
FL,FL-24,0.0,0.0,0.0
FL,FL-25,46520.0,51433.41,3068.24
FL,FL-26,-1101570.91,769068.41,1017723.08
FL,FL-27,22105.6,0.0,600000.0
FL,FL-28,25688.9,0.0,12334.86
GA,GA-01,0.0,0.0,0.0
GA,GA-02,0.0,0.0,0.0
GA,GA-03,0.0,0.0,0.0
GA,GA-04,27925.68,15229.68,42229.68
GA,GA-05,151887.25,429689.0,200000.0
GA,GA-06,51630.0,159838.4,84000.0
GA,GA-07,27141.0,731668.46,788174.06
GA,GA-08,29633.6,31864.0,0.0
GA,GA-09,71573.0,0.0,43259.0
GA,GA-10,452911.0,236490.0,77782.0
GA,GA-11,59000.0,176500.0,149800.0
GA,GA-12,0.0,0.0,0.0
GA,GA-13,29485.32,276205.0,0.0
GA,GA-14,165000.0,169903.0,85000.0
HI,HI-01,233062.48,0.0,13000.0
HI,HI-02,1000000.0,0.0,0.0
IA,IA-01,732366.63,10000.0,1530000.0
IA,IA-02,0.0,69919.0,366814.0
IA,IA-03,0.0,0.0,0.0
IA,IA-04,0.0,227222.0,592220.18
ID,ID-01,0.0,37000.0,0.0
ID,ID-02,107377.56,26691.0,107377.56
IL,IL-01,0.0,0.0,0.0
IL,IL-02,0.0,0.0,0.0
IL,IL-03,130724.7,43629.0,43655.48
IL,IL-04,0.0,0.0,0.0
IL,IL-05,0.0,0.0,26035.16
IL,IL-06,70063.37,120000.0,6050.0
IL,IL-07,725065.33,0.0,501531.03
IL,IL-08,0.0,0.0,99792.0
IL,IL-09,131108.4,14202.06,0.0
IL,IL-10,95476.73,0.0,112840.8
IL,IL-11,14450.0,0.0,0.0
IL,IL-12,0.0,0.0,0.0
IL,IL-13,669641.99,264124.0,72760.0
IL,IL-14,0.0,25023.0,16180.81
IL,IL-15,0.0,0.0,0.0
IL,IL-16,0.0,0.0,0.0
IL,IL-17,0.0,0.0,0.0
IN,IN-01,0.0,0.0,963001.0
IN,IN-02,50000.0,0.0,29640.0
IN,IN-03,11716708.57,142892303.71,102690000.0
IN,IN-04,76992.86,37151.0,74000.0
IN,IN-05,0.0,0.0,0.0
IN,IN-06,0.0,0.0,0.0
IN,IN-07,246737.62,210437.28,397194.46
IN,IN-08,3717490.23,5017389.65,4697458.68
IN,IN-09,0.0,0.0,0.0
KS,KS-01,0.0,3000000.0,36181.37
KS,KS-02,2097628.0,1232070.0,2094384.8
KS,KS-03,7546843.5,4101887.3,613219.4
KS,KS-04,78887.19,10022500.0,10094265.36
KY,KY-01,0.0,0.0,0.0
KY,KY-02,0.0,0.0,0.0
KY,KY-03,480096.6,370414.97,128984.28
KY,KY-04,0.0,0.0,0.0
KY,KY-05,0.0,0.0,10603000.0
KY,KY-06,-489.6,0.0,0.0
LA,LA-01,2135667.0,4856052.11,62293.0
LA,LA-02,20950.0,0.0,0.0
LA,LA-03,0.0,0.0,-819.27
LA,LA-04,83092.0,0.0,0.0
LA,LA-05,29500.0,0.0,0.0
LA,LA-06,5000000.0,2524420.0,11334.0
MA,MA-01,794609.28,0.0,50000.0
MA,MA-02,69958.8,197273.0,856000.0
MA,MA-03,247355.05,1413105.9,1128431.44
MA,MA-04,164452.4,49550.0,0.0
MA,MA-05,3532093.55,3370104.48,4182748.21
MA,MA-06,1934819.04,217198.09,67502.06
MA,MA-07,2587001.51,2048043.19,635399.24
MA,MA-08,1122536.6,999587.48,236855.67
MA,MA-09,67507.76,185538.76,79113.37
MD,MD-01,29250.0,1860167.02,119435.52
MD,MD-02,505003.0,422891.0,225450.84
MD,MD-03,27896909.11,18988633.17,13194854.83
MD,MD-04,1153575764.07,1347378485.11,1114021070.31
MD,MD-05,1103790.3,118828.0,282694.74
MD,MD-06,65974.77,809717.01,37025.35
MD,MD-07,32980228.26,22469807.6,17227325.25
MD,MD-08,2393886.1,11870957.11,3284026.59
ME,ME-01,400000.0,3448495.03,-290133.46
ME,ME-02,0.0,0.0,2519682.0
MI,MI-01,0.0,0.0,0.0
MI,MI-02,0.0,0.0,0.0
MI,MI-03,247722.84,0.0,0.0
MI,MI-04,16915.0,0.0,17690.0
MI,MI-05,0.0,276310.81,33460.0
MI,MI-06,2562407.27,1878071.56,536130.42
MI,MI-07,0.0,33800.0,0.0
MI,MI-08,0.0,15675.4,0.0
MI,MI-09,0.0,0.0,0.0
MI,MI-10,0.0,263549.0,163113.1
MI,MI-11,726848.14,889924.68,342173.24
MI,MI-12,0.0,0.0,-3252.16
MI,MI-13,0.0,0.0,0.0
MN,MN-01,29130.0,0.0,0.0
MN,MN-02,180741.24,187624.8,182840.24
MN,MN-03,264756.13,365360.19,1063988.8
MN,MN-04,-3570.0,128984.76,0.0
MN,MN-05,353725.86,70000.0,40477.95
MN,MN-06,0.0,0.0,0.0
MN,MN-07,0.0,0.0,0.0
MN,MN-08,0.0,0.0,0.0
MO,MO-01,1068673.87,818917.93,62071.11
MO,MO-02,0.0,0.0,0.0
MO,MO-03,0.0,0.0,0.0
MO,MO-04,0.0,0.0,0.0
MO,MO-05,0.0,0.0,0.0
MO,MO-06,0.0,0.0,0.0
MO,MO-07,0.0,20825.0,0.0
MO,MO-08,127362.51,173724.26,-2565.74
MS,MS-01,-4656.73,59824.5,1500000.0
MS,MS-02,-846731.89,130791.1,88775.0
MS,MS-03,17496554.55,12771613.68,10133095.42
MS,MS-04,217482290.62,214544129.71,189970460.48
MT,MT-01,59335.44,7097326.12,7314726.67
MT,MT-02,0.0,0.0,0.0
NC,NC-01,0.0,0.0,0.0
NC,NC-02,0.0,50100.0,0.0
NC,NC-03,0.0,0.0,12561.89
NC,NC-04,2577058.92,4048835.43,1696916.43
NC,NC-05,74925.0,6075.0,0.0
NC,NC-06,14690.0,-2144.99,18050.0
NC,NC-07,0.0,24285.4,90796.3
NC,NC-08,0.0,18750.0,0.0
NC,NC-09,0.0,23750.0,-75.0
NC,NC-10,980769.23,11715.0,523115.38
NC,NC-11,0.0,0.0,0.0
NC,NC-12,136229.97,227866.07,291997.17
NC,NC-13,0.0,21180.0,0.0
NC,NC-14,40000.0,514844.09,28445.23
ND,ND-00,1389324.0,1010383.0,920000.0
NE,NE-01,32766.84,539193.0,741256.0
NE,NE-02,0.0,95000.0,33000.0
NE,NE-03,96312.82,10000.0,0.0
NH,NH-01,1940408.0,3851178.0,3277447.19
NH,NH-02,1474665.5,3672421.55,1532049.73
NJ,NJ-01,0.0,45165.0,12765.0
NJ,NJ-02,0.0,0.0,0.0
NJ,NJ-03,244997.01,144417.0,235838.15
NJ,NJ-04,79268.0,0.0,-137.12
NJ,NJ-05,152992.89,10357.39,125798.0
NJ,NJ-06,929431.0,129829.11,979181.0
NJ,NJ-07,1294430.19,7366259.18,6077714.79
NJ,NJ-08,165778.82,230202.07,321940.51
NJ,NJ-09,93740.75,81174.75,171299.84
NJ,NJ-10,0.0,12160.0,594784.0
NJ,NJ-11,366066.0,245471.76,124051.0
NJ,NJ-12,629296.04,-1340.86,338222.12
NM,NM-01,1170360.0,2112367.47,2025628.6
NM,NM-02,3046753.71,2981767.85,1870238.92
NM,NM-03,0.0,0.0,50600.0
NV,NV-01,2024697.65,607869.65,530579.65
NV,NV-02,69133.0,-1825.95,23038.14
NV,NV-03,295101.53,0.0,-20464.02
NV,NV-04,0.0,0.0,0.0
NY,NY-01,192076.66,98790.0,63565.0
NY,NY-02,0.0,23782.5,63811.0
NY,NY-03,11372.27,0.0,0.0
NY,NY-04,0.0,0.0,20000.0
NY,NY-05,0.0,0.0,0.0
NY,NY-06,0.0,0.0,0.0
NY,NY-07,33143.16,10800.0,0.0
NY,NY-08,37965.5,171930.49,-14131.84
NY,NY-09,0.0,0.0,0.0
NY,NY-10,2568233.55,12106968.93,4701708.85
NY,NY-11,0.0,12425.05,0.0
NY,NY-12,115640.0,1669555.55,769470.41
NY,NY-13,5753967.16,7674924.68,8639043.22
NY,NY-14,490931.0,304341.0,364412.0
NY,NY-15,14000.0,0.0,0.0
NY,NY-16,104128.57,15000.0,15000.0
NY,NY-17,42525.0,131693.37,35588.0
NY,NY-18,17460.39,0.0,0.0
NY,NY-19,53874.0,233749.0,48295.0
NY,NY-20,97091.66,6851.84,0.0
NY,NY-21,0.0,0.0,0.0
NY,NY-22,255080.64,238550.49,4953746.79
NY,NY-23,578481.0,181866.4,-82.55
NY,NY-24,16685.0,2206.87,0.0
NY,NY-25,0.0,133810.5,50605.0
NY,NY-26,3006744.0,296586.26,445552.42
OH,OH-01,1603806.51,3407765.18,2934320.96
OH,OH-02,0.0,56400.0,30922.86
OH,OH-03,629632.9,406314.0,1059592.23
OH,OH-04,119280.0,0.0,0.0
OH,OH-05,266647.92,18521.68,26427.78
OH,OH-06,0.0,0.0,15000.0
OH,OH-07,9267690.45,2503721.16,4537164.38
OH,OH-08,2388568.39,156424.7,183276.45
OH,OH-09,0.0,139926.72,341594.87
OH,OH-10,569934.93,1717534.46,12074660.04
OH,OH-11,121214477.08,71733721.5,53869972.42
OH,OH-12,0.0,1428814.96,1370592.13
OH,OH-13,3498014.74,6582311.93,5858433.0
OH,OH-14,0.0,17600.0,307500.0
OH,OH-15,145731.26,288511.38,61109.67
OK,OK-01,6949.78,305331.0,36139.67
OK,OK-02,12788.0,0.0,0.0
OK,OK-03,8561381.82,-602798.59,-281685.61
OK,OK-04,268116.4,280035.81,322069.0
OK,OK-05,0.0,0.0,0.0
OR,OR-01,382779.98,326070.71,2350316.8
OR,OR-02,630107.17,0.0,12444.0
OR,OR-03,0.0,20394.0,0.0
OR,OR-04,197706.56,890812.51,22397.81
OR,OR-05,40999.0,90949.0,152350.0
OR,OR-06,0.0,0.0,0.0
PA,PA-01,619558.36,4439079.23,23993.54
PA,PA-02,0.0,0.0,0.0
PA,PA-03,-226044.13,10555.04,25200.0
PA,PA-04,46874.0,305751.99,0.0
PA,PA-05,39566.77,14200.0,27766.0
PA,PA-06,576815.41,313381.22,225354.01
PA,PA-07,3470931.22,8439271.44,10692885.7
PA,PA-08,0.0,0.0,12350.0
PA,PA-09,0.0,0.0,0.0
PA,PA-10,0.0,0.0,963000.0
PA,PA-11,105900.0,0.0,159999.0
PA,PA-12,1242953.1,430000.0,335798.0
PA,PA-13,0.0,0.0,0.0
PA,PA-14,395089.16,4413472.76,4172537.58
PA,PA-15,2111515.33,1984414.6,2339347.4
PA,PA-16,415462.38,385068.72,440100.78
PA,PA-17,65534.3,149885.0,73697.95
RI,RI-01,0.0,14491.0,103877.67
RI,RI-02,215186.15,289092.75,46997.03
SC,SC-01,2700.0,0.0,0.0
SC,SC-02,129670.0,158150.0,26481.0
SC,SC-03,0.0,0.0,0.0
SC,SC-04,0.0,20625.0,235669.0
SC,SC-05,0.0,22600.0,0.0
SC,SC-06,0.0,0.0,0.0
SC,SC-07,0.0,58950.0,17280.0
SD,SD-00,-20694.0,217550.54,53140.0
TN,TN-01,81267.89,12121.2,132684.97
TN,TN-02,375824.97,494526.39,428690.0
TN,TN-03,19400854.33,25574840.08,20273701.57
TN,TN-04,0.0,1769161.89,6048440.0
TN,TN-05,0.0,176250.0,400000.0
TN,TN-06,0.0,14350.0,25150.0
TN,TN-07,0.0,0.0,0.0
TN,TN-08,0.0,0.0,0.0
TN,TN-09,243065.45,314621.52,234219.7
TX,TX-01,0.0,0.0,0.0
TX,TX-02,160963.1,68677.8,1440306.83
TX,TX-03,0.0,46578.0,0.0
TX,TX-04,455848.0,671846.0,865104.5
TX,TX-05,0.0,0.0,0.0
TX,TX-06,19400559.93,42256162.99,48751721.95
TX,TX-07,52396.0,39995.0,963000.0
TX,TX-08,53968.99,57088.99,95931.05
TX,TX-09,12802299.0,15592636.0,16431516.16
TX,TX-10,113997.37,2047129.31,4683160.8
TX,TX-11,0.0,0.0,0.0
TX,TX-12,4262421.9,4199899.84,6090553.61
TX,TX-13,0.0,0.0,10559.8
TX,TX-14,491235.0,689692.35,505000.0
TX,TX-15,0.0,0.0,500000.0
TX,TX-16,57462.21,0.0,45000.0
TX,TX-17,11397.88,21270.55,416897.31
TX,TX-18,8070801.44,10269779.61,10238602.26
TX,TX-19,0.0,0.0,-8170.97
TX,TX-20,13209115.05,10462805.0,47551756.51
TX,TX-21,0.0,76072.2,35812.04
TX,TX-22,0.0,-18.53,0.0
TX,TX-23,0.0,0.0,0.0
TX,TX-24,1726001.0,887615.23,70994.92
TX,TX-25,33500.0,3000.0,-3915.1
TX,TX-26,0.0,-3058.44,14000.0
TX,TX-27,0.0,0.0,0.0
TX,TX-28,0.0,0.0,963000.0
TX,TX-29,-307620.02,34154458.84,50756616.4
TX,TX-30,0.0,50000.0,0.0
TX,TX-31,0.0,0.0,88400.0
TX,TX-32,103450.6,6364.0,16869.0
TX,TX-33,0.0,87030.5,50347.79
TX,TX-34,0.0,0.0,0.0
TX,TX-35,0.0,0.0,0.0
TX,TX-36,793991382.5,839695673.83,830386203.14
TX,TX-37,571110.08,951351.38,66738.75
TX,TX-38,42215.0,128682.0,28500.0
UT,UT-01,276583.66,90041.92,115054.48
UT,UT-02,1015606.91,999268.0,0.0
UT,UT-03,823530.17,748537.29,258961.54
UT,UT-04,0.0,0.0,0.0
VA,VA-01,158597.77,144382.0,476163.68
VA,VA-02,100968039.84,106706968.15,114463725.03
VA,VA-03,133745702.97,136294541.56,124350270.24
VA,VA-04,0.0,85162.0,312902.0
VA,VA-05,542847.89,3098489.93,2585316.02
VA,VA-06,149819.0,2561680.5,3514108.97
VA,VA-07,3395130.18,3026692.4,2417283.13
VA,VA-08,29203552.51,14964409.85,18502843.4
VA,VA-09,485840.52,-223154.0,-1.0
VA,VA-10,5777552.39,5730782.4,5619257.75
VA,VA-11,325963492.04,413180109.4,450461385.19
VT,VT-00,261656.0,150361.72,71050.67
WA,WA-01,213891.26,-119928.21,-8749.8
WA,WA-02,174250.55,114683.98,515628.57
WA,WA-03,19250.0,71521.0,0.0
WA,WA-04,10381.0,0.0,0.0
WA,WA-05,0.0,0.0,15080.75
WA,WA-06,65000.0,0.0,0.0
WA,WA-07,-1514.97,143380.83,44860.0
WA,WA-08,0.0,0.0,0.0
WA,WA-09,214710.0,209850.0,538635.34
WA,WA-10,11683.08,96340.99,28716.5
WI,WI-01,32776.98,0.0,33951.54
WI,WI-02,178674.0,638283.78,220863.54
WI,WI-03,16375.0,0.0,137756.0
WI,WI-04,0.0,0.0,0.0
WI,WI-05,28790.0,0.0,41171.8
WI,WI-06,0.0,0.0,0.0
WI,WI-07,141865.0,28505.16,0.0
WI,WI-08,0.0,81226.59,0.0
WV,WV-01,0.0,2939672.57,63837.25
WV,WV-02,47114599.4,38839433.79,40564061.03
WY,WY-00,0.0,82300.0,0.0
