state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
AK,AK-00,2792255.0,2735600.86,2455565.23
AL,AL-02,568821.58,84997.0,-386279.36
AL,AL-05,2051433.06,2070255.0,1004368.04
AL,AL-07,-11214.84,0.0,0.0
AR,AR-02,911102.23,1781358.58,985227.02
AZ,AZ-02,0.0,77253.0,-43032.32
AZ,AZ-07,1866078.0,979235.27,800000.0
AZ,AZ-08,0.0,0.0,113627.0
CA,CA-04,0.0,0.0,-379.5
CA,CA-11,0.0,0.0,697135.0
CA,CA-13,219856.76,-41864.0,-8301.94
CA,CA-18,296303.2,172206.18,10650.0
CA,CA-19,94935.0,0.0,-32495.81
CA,CA-20,105114.92,3700.0,4643.61
CA,CA-23,0.0,0.0,49505.16
CA,CA-24,0.0,0.0,0.0
CA,CA-28,1291628.68,1784806.97,220030.66
CA,CA-32,1199997.0,249999.52,0.0
CA,CA-34,278090.0,278090.0,278090.0
CA,CA-35,249822.7,249632.0,649512.0
CA,CA-36,25000.0,60057.0,0.0
CA,CA-39,-2.25,0.0,0.0
CA,CA-41,229942.28,305985.0,293847.0
CA,CA-43,300000.0,215000.0,0.0
CA,CA-45,0.0,926022.0,944887.0
CA,CA-47,305558.0,-81411.95,-7232.83
CA,CA-48,88100.0,44040.0,0.0
CA,CA-50,1195000.0,1304987.0,799994.0
CA,CA-51,0.0,0.0,244450.69
CO,CO-02,1755045.99,910000.0,1050000.0
CO,CO-05,39947.0,0.0,49682.0
CT,CT-01,812470.8,869375.06,848724.99
CT,CT-04,0.0,38801.58,0.0
DC,DC-00,45479200.78,46306318.36,38374804.54
DE,DE-00,2437532.83,1486403.3,3514702.19
FL,FL-02,1025212.0,1649323.55,1477712.0
FL,FL-06,577138.8,499732.69,499732.69
FL,FL-08,129390.08,634887.16,881568.42
FL,FL-10,1103791.1,1049131.79,1282573.19
FL,FL-23,401377.32,239260.69,0.0
FL,FL-26,1296564.0,249999.0,-32022.13
GA,GA-02,85000.0,79687.04,85000.0
GA,GA-05,804971.68,699586.82,855395.0
GA,GA-06,922500.0,910000.0,0.0
HI,HI-01,1551487.96,2290830.4,2117827.34
HI,HI-02,237097.0,0.0,699918.0
IA,IA-02,35000.0,0.0,0.0
IA,IA-04,1968649.61,2202318.0,1749999.94
ID,ID-01,2059980.66,1960000.0,1791456.02
IL,IL-06,11009.33,0.0,0.0
IL,IL-07,264646.0,970554.62,1244973.4
IL,IL-13,1002547.51,983214.1,800000.0
IN,IN-04,989016.0,910000.0,800000.0
IN,IN-07,39996.7,0.0,249998.0
KS,KS-01,15000.0,0.0,0.0
KS,KS-04,1989888.99,946546.5,1406013.22
KY,KY-01,0.0,60000.0,0.0
KY,KY-04,39986.0,0.0,0.0
KY,KY-06,2159897.84,1565449.73,999933.21
LA,LA-01,-27845.16,0.0,0.0
LA,LA-02,39157.0,0.0,60000.0
LA,LA-04,45000.0,0.0,0.0
LA,LA-06,1406238.41,2117792.75,1749966.19
MA,MA-02,217743.0,245099.0,0.0
MA,MA-05,0.0,0.0,49544.46
MA,MA-07,1326336.76,1159923.0,800000.0
MA,MA-08,1448664.0,0.0,0.0
MD,MD-01,440794.51,371968.92,384850.64
MD,MD-03,24653.49,0.0,0.0
MD,MD-04,145650.34,218529.55,62559.48
MD,MD-05,393802.06,397023.0,398548.0
MD,MD-07,1943870.0,1594263.0,1829677.62
MD,MD-08,0.0,98006.0,47000.0
ME,ME-02,1087365.33,1110000.0,1731563.16
MI,MI-01,0.0,79889.0,0.0
MI,MI-04,0.0,0.0,-86.09
MI,MI-06,964901.39,959990.46,784230.59
MI,MI-07,79999.88,0.0,0.0
MI,MI-13,797974.0,0.0,0.0
MN,MN-04,0.0,0.0,0.0
MN,MN-05,900321.91,910000.0,799999.98
MN,MN-07,0.0,0.0,0.0
MO,MO-03,584318.0,583927.0,583106.0
MO,MO-05,35586.0,0.0,0.0
MO,MO-07,0.0,0.0,250000.0
MO,MO-08,828934.99,909999.0,800000.0
MS,MS-01,1334969.78,2034377.18,1749999.0
MS,MS-03,0.0,39911.0,0.0
MS,MS-04,188172.06,202766.14,29297.77
MT,MT-01,1309944.0,1309999.0,1999849.0
MT,MT-02,-31032.51,40000.0,0.0
NC,NC-01,176353.0,176353.0,0.0
NC,NC-02,910000.0,910000.0,800000.0
NC,NC-04,475373.5,486793.5,499492.5
NC,NC-06,578787.0,499808.0,494873.24
NC,NC-07,449831.0,444150.0,841972.0
NC,NC-10,250000.0,250000.0,0.0
NC,NC-12,0.0,39967.3,249229.71
ND,ND-00,1680367.78,1698985.38,1254867.39
NE,NE-01,39970.0,0.0,0.0
NE,NE-02,1328701.0,1458062.09,988996.27
NH,NH-01,1110000.0,1110000.0,1993199.0
NJ,NJ-01,0.0,0.0,0.0
NJ,NJ-04,0.0,38317.11,0.0
NJ,NJ-08,0.0,0.0,249475.0
NJ,NJ-09,399801.0,393791.0,395825.0
NJ,NJ-10,0.0,975861.15,966953.49
NJ,NJ-11,0.0,0.0,0.0
NJ,NJ-12,825000.0,955000.0,800000.0
NM,NM-01,50000.0,50000.0,57619.0
NM,NM-02,2153982.41,1508282.07,1758877.59
NM,NM-03,928980.69,499739.0,-356236.53
NV,NV-01,493650.0,372037.6,430129.97
NV,NV-02,2058938.76,2156915.9,1746388.92
NY,NY-01,0.0,0.0,0.0
NY,NY-06,39612.0,0.0,0.0
NY,NY-12,0.0,1241290.0,1301994.0
NY,NY-13,954000.0,0.0,384157.0
NY,NY-19,910000.0,950000.0,849901.0
OH,OH-01,0.0,0.0,10354.5
OH,OH-03,79348.81,0.0,-3144.73
OH,OH-06,0.0,0.0,249999.63
OH,OH-07,1392818.9,1358821.5,929584.0
OH,OH-11,117314.08,37716.79,664064.35
OH,OH-15,0.0,0.0,0.0
