state,district,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
AK,AK-00,22240915.05,20758656.70,20715676.79
AL,AL-01,71853.00,0.00,0.00
AL,AL-02,0.00,332582.00,585941.00
AL,AL-03,1434821.76,1164096.92,870783.80
AL,AL-04,4999999.00,847914.00,189802.00
AL,AL-05,67090574.75,76689923.04,89156827.17
AL,AL-06,110084.26,0.00,0.00
AL,AL-07,1664326.45,1371606.88,3219176.88
AR,AR-01,0.00,0.00,0.00
AR,AR-02,87000.00,66454.00,25000.00
AR,AR-03,1232941.00,199616.00,164085.20
AR,AR-04,0.00,149998.00,0.00
AS,AS-00,0.00,0.00,0.00
AZ,AZ-01,63900.00,101783.84,78631.25
AZ,AZ-02,5888794.73,6928015.76,31075658.09
AZ,AZ-03,240725.18,219879.77,85135.83
AZ,AZ-04,32248468.84,30836179.73,39973849.71
AZ,AZ-05,18416.91,19120877.00,16388447.40
AZ,AZ-06,4140845.00,70959.00,273044.32
AZ,AZ-07,63911321.03,49079350.04,60957441.32
AZ,AZ-08,3526238.50,4256477.06,44957.20
AZ,AZ-09,0.00,0.00,0.00
CA,CA-01,23228.50,97196.00,102980.00
CA,CA-02,210432.34,274441.39,1235473.20
CA,CA-03,54682.50,19174.00,96159.15
CA,CA-04,11009173.02,3569965.47,3239138.49
CA,CA-05,236105.25,338042.10,251365.20
CA,CA-06,0.00,0.00,0.00
CA,CA-07,0.00,0.00,0.00
CA,CA-08,20021.00,-18422.87,16800.00
CA,CA-09,-7801.74,0.00,0.00
CA,CA-10,35921.00,69772.00,146862.00
CA,CA-11,37583600.60,4007636.00,2396041.00
CA,CA-12,72732123.63,49431065.11,108116469.35
CA,CA-13,233923.00,0.00,325900.23
CA,CA-14,888703.81,1273700.95,96666.50
CA,CA-15,393240.75,377722.92,87945.30
CA,CA-16,99016479.38,144840715.51,153199302.78
CA,CA-17,2196635.60,4179639.39,3880138.61
CA,CA-18,77458647.46,74351823.63,50122133.91
CA,CA-19,3252323.99,2753393.90,4865119.63
CA,CA-20,9926469.77,8321974.40,12476556.98
CA,CA-21,0.00,0.00,0.00
CA,CA-22,0.00,0.00,0.00
CA,CA-23,7592237.56,6373803.04,676071.88
CA,CA-24,3643164.69,10131898.94,4608824.33
CA,CA-25,0.00,0.00,0.00
CA,CA-26,-148894.54,923263.73,2142597.18
CA,CA-27,54548.36,214705.78,50000.00
CA,CA-28,2356611802.83,1900880533.29,1962770605.52
CA,CA-29,33326.88,0.00,318382.92
CA,CA-30,42255766.04,14195924.61,20961630.76
CA,CA-31,62778.00,127063.00,129063.00
CA,CA-32,3042694.62,4555690.76,7751016.00
CA,CA-33,115550.00,50000.00,15712.85
CA,CA-34,2410635.19,1197614.47,3344895.71
CA,CA-35,1205097.52,39965.54,550905.20
CA,CA-36,41062308.71,89801888.71,127137709.24
CA,CA-37,1051342.48,463387.00,238712.19
CA,CA-38,85912.59,36942.54,12391.46
CA,CA-39,2301347.50,1245375.45,1640516.32
CA,CA-40,168230.00,488169.80,459286.84
CA,CA-41,0.00,0.00,21269.06
CA,CA-42,20695124.00,6147795.00,13994079.08
CA,CA-43,171035578.54,239582251.87,201010918.40
CA,CA-44,47939.99,411227.52,1195874.24
CA,CA-45,38181.34,0.00,0.00
CA,CA-46,5595875.11,1861439.00,3400580.52
CA,CA-47,4963031.46,4287416.21,6752897.07
CA,CA-48,0.00,0.00,16978.00
CA,CA-49,41710.42,159047.00,97530.00
CA,CA-50,18600713.23,13499491.87,14524924.48
CA,CA-51,9511466.50,6157226.46,4454255.98
CA,CA-52,0.00,0.00,-2490.00
CO,CO-01,378224.50,947376.00,387303.84
CO,CO-02,204231878.68,164317678.61,195729407.46
CO,CO-03,356590.00,531992.47,1035796.00
CO,CO-04,0.00,0.00,100000.00
CO,CO-05,555148.31,291780.40,509136.75
CO,CO-06,1380538.02,202707.59,-97866.38
CO,CO-07,86809122.01,53967513.20,47647360.31
CO,CO-08,173969.53,1548323.91,7323346.09
CT,CT-01,349669.78,269064.93,559143.00
CT,CT-02,1066542.87,1630086.41,2312307.07
CT,CT-03,1344743.07,2137184.07,1790036.32
CT,CT-04,611445.32,345980.25,0.00
CT,CT-05,23456.20,46410.00,6622.00
DC,DC-00,84950305.04,98394503.86,94856052.37
