state,district,fy_2022_obligations,fy_2023_obligations,fy_2024_obligations
AK,AK-00,99000.0,0.0,98172.0
AL,AL-01,0.0,0.0,0.0
AL,AL-02,0.0,0.0,0.0
AL,AL-03,0.0,0.0,0.0
AL,AL-04,0.0,42246.0,42977.0
AL,AL-05,590310630.56,555995945.88,559599858.9
AL,AL-06,0.0,0.0,0.0
AL,AL-07,-72.6,0.0,70529.0
AR,AR-01,0.0,0.0,0.0
AR,AR-02,210000.0,60000.0,111793.0
AR,AR-03,0.0,0.0,0.0
AR,AR-04,0.0,0.0,0.0
AZ,AZ-01,60000.0,6400015.23,0.0
AZ,AZ-02,0.0,0.0,0.0
AZ,AZ-03,0.0,11980.0,0.0
AZ,AZ-04,405071.01,892112.6,440114.11
AZ,AZ-05,0.0,5000.0,0.0
AZ,AZ-06,18700.0,16900.0,181500.0
AZ,AZ-07,525437.41,463031.0,137000.0
AZ,AZ-08,91099.38,136705.51,0.0
AZ,AZ-09,0.0,0.0,0.0
CA,CA-01,0.0,0.0,0.0
CA,CA-02,88964.0,0.0,18808.0
CA,CA-03,0.0,0.0,0.0
CA,CA-04,14897313.24,7943557.9,850788.0
CA,CA-05,236023.75,195149.65,140849.6
CA,CA-06,0.0,0.0,145558.0
CA,CA-07,0.0,0.0,0.0
CA,CA-08,0.0,0.0,0.0
CA,CA-09,0.0,0.0,0.0
CA,CA-10,0.0,15000.0,107330.38
CA,CA-11,291107.77,-44781.44,0.0
CA,CA-12,-13.95,59895.28,115345.0
CA,CA-13,0.0,0.0,0.0
CA,CA-14,-3133.05,0.0,393004.0
CA,CA-15,539432.91,19514.99,0.0
CA,CA-16,7387875.96,490700.45,4572368.01
CA,CA-17,275241.67,854911.37,1420307.82
CA,CA-18,225322223.31,155008083.34,126167013.79
CA,CA-19,0.0,0.0,0.0
CA,CA-20,2581173.58,1511641.15,1575602.25
CA,CA-21,0.0,0.0,0.0
CA,CA-22,0.0,0.0,0.0
CA,CA-23,548723.73,1280383.31,3766881.13
CA,CA-24,24282.0,1039174.0,76430.0
CA,CA-25,0.0,0.0,0.0
CA,CA-26,0.0,10804.7,0.0
CA,CA-27,0.0,46799.31,38789.78
CA,CA-28,270724183.61,293033692.91,265512737.5
CA,CA-29,94257.45,0.0,0.0
CA,CA-30,770391.0,585000.0,435000.0
CA,CA-31,0.0,0.0,0.0
CA,CA-32,0.0,78034.9,12250.0
CA,CA-33,0.0,0.0,0.0
CA,CA-34,250964.1,0.0,45934.43
CA,CA-35,0.0,0.0,0.0
CA,CA-36,16124045.35,32663785.04,45793731.15
CA,CA-37,113547.18,-26377.28,0.0
CA,CA-38,0.0,0.0,0.0
CA,CA-39,568893.51,313083.77,192651.84
CA,CA-40,0.0,62378.91,42344.0
CA,CA-41,0.0,195970.4,0.0
CA,CA-42,0.0,5000.0,0.0
CA,CA-43,463696.0,8305788.0,35886529.8
CA,CA-44,95620.0,0.0,0.0
CA,CA-45,856307.0,747615.0,160633.0
CA,CA-46,51773.26,0.0,0.0
CA,CA-47,1033990.09,2155582.57,766649.46
CA,CA-48,0.0,0.0,0.0
CA,CA-49,0.0,25657.5,0.0
CA,CA-50,1455407.9,1478303.13,848217.37
CA,CA-51,200065.81,458289.0,0.0
CA,CA-52,23670.16,0.0,0.0
CO,CO-01,37900.4,13910.0,14605.5
