state,district,fy_2022_obligations,fy_2023_obligations,fy_2024_obligations
AK,AK-00,0.0,0.0,0.0
AL,AL-01,0.0,0.0,0.0
AL,AL-02,25000.0,0.0,321721.0
AL,AL-03,3443673.23,2473233.91,3400913.14
AL,AL-04,0.0,0.0,0.0
AL,AL-05,589077226.85,503085954.55,474576264.23
AL,AL-06,44297.2,287.57,0.0
AL,AL-07,1327086.49,715821.01,234813.56
AR,AR-01,0.0,0.0,0.0
AR,AR-02,800000.0,804757.0,910000.0
AR,AR-03,156442.0,0.0,0.0
AR,AR-04,43310.0,390.0,0.0
AZ,AZ-01,459577.0,1449653.0,923113.0
AZ,AZ-02,0.0,0.0,153950.0
AZ,AZ-03,253057.0,1087618.0,50494.39
AZ,AZ-04,3474201.0,2734181.0,5188847.07
AZ,AZ-05,0.0,0.0,0.0
AZ,AZ-06,150169.13,997996.0,967940.0
AZ,AZ-07,1766295.36,2651849.26,3345759.72
AZ,AZ-08,0.0,149790.0,899954.0
AZ,AZ-09,0.0,0.0,0.0
CA,CA-01,2839747.0,899938.0,0.0
CA,CA-02,817006.58,62900.0,-18016.0
CA,CA-03,0.0,0.0,0.0
CA,CA-04,18799861.72,9962903.15,1582385.16
CA,CA-05,236023.75,213649.65,137099.6
CA,CA-06,0.0,0.0,0.0
CA,CA-07,0.0,66985.0,22008.7
CA,CA-08,0.0,1027972.95,0.0
CA,CA-09,66765.0,0.0,0.0
CA,CA-10,0.0,299993.0,999792.0
CA,CA-11,0.0,464737.0,149983.0
CA,CA-12,5129262.39,4214542.95,2201877.35
CA,CA-13,0.0,48862.0,77688.0
CA,CA-14,1400077.0,1903078.0,3070296.0
CA,CA-15,1048198.6,791449.42,1472127.0
CA,CA-16,38266942.41,34097896.48,64588812.27
CA,CA-17,4945411.0,5828683.5,2575483.98
CA,CA-18,204278129.98,177373848.04,191208169.61
CA,CA-19,12462.95,22500.0,49579.5
CA,CA-20,28836418.88,37232464.92,22477692.39
