state,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
AL,1874793647.33,1936923244.81,2289800372.35
AK,27352.0,15000.0,0.0
AZ,8190630.15,4587205.61,3143435.17
AR,0.0,0.0,0.0
CA,1329353756.1,1182292068.19,687078297.24
CO,442317917.31,410550429.46,366474958.26
CT,6294593.55,2749299.0,6144183.62
DE,224200.81,197497.88,1027541.19
FL,256780776.19,167187121.94,146507903.72
GA,1055073.0,703682.0,1301740.0
HI,0.0,0.0,0.0
ID,0.0,0.0,0.0
IL,2305571.96,426945.8,86876.7
IN,1904293.47,989753.4,6417853.19
IA,325528.77,463343.68,48705.31
KS,91621.99,31921.0,34740.0
KY,609329.78,-14462.14,273397.53
LA,4987553.66,4981831.94,30998625.67
ME,0.0,10000.0,-2638.25
MD,12471371.64,10172658.41,14133497.63
MA,4088676.95,3192590.43,6287247.16
MI,628105.22,1088736.13,1520542.57
MN,858402.4,368003.08,763992.08
MS,95573034.59,78321888.14,52379853.61
MO,518509.8,601250.0,0.0
MT,3316720.45,5825936.1,4935013.64
NE,13008.6,29576.0,158769.2
NV,-1120435.0,67524.91,146896.4
NH,132057.91,87944.47,472373.69
NJ,2454830.36,2635317.48,1493796.74
NM,323117.59,1682484.71,12439976.76
NY,1564023.58,2239187.26,5553657.32
NC,68626.86,67906.75,58740.38
ND,0.0,0.0,-7.3
OH,7144162.64,6336240.01,8681282.98
OK,137809.0,29088.0,423460.5
OR,761401.36,520032.58,274054.2
PA,3762190.26,11084665.69,6442169.48
RI,804195.0,600000.0,1500000.0
SC,497777.0,107620.0,102429.0
SD,492559.0,499819.0,497375.0
TN,566541.14,259943.74,917186.73
TX,274696756.6,334140139.46,347026436.92
UT,125976051.0,84891514.41,18953951.93
VT,0.0,803955.0,287277.0
VA,588494810.75,514223879.68,647909961.93
WA,437612215.02,499165749.09,777414298.43
WV,1825812.0,2934071.85,1165150.0
WI,377542.0,3026598.0,3345381.32
WY,0.0,36870.0,47420.0
DC,76751077.58,79243592.25,74933028.21
