state,fy_2024_obligations,fy_2023_obligations,fy_2022_obligations
AL,1829621834.83,1840182752.85,2071145710.72
AK,23545704.92,24856658.05,24625088.83
AZ,124088399.54,175386183.69,119393386.97
AR,2299765.58,2299851.77,2830840.4
CA,4452906579.02,5238628340.37,5043641077.25
CO,902387018.67,905138317.22,1007949219.24
CT,17941870.8,26293042.78,29086720.08
DE,10105846.35,18019323.44,16271105.63
FL,1413612173.12,1378355553.77,1424258244.57
GA,23501639.74,28425446.14,26032895.73
HI,23155776.73,24926329.82,24795886.08
ID,4432715.83,5050213.15,5761230.03
IL,31816620.34,46408254.58,40991838.79
IN,128739559.68,171750436.97,34289911.36
IA,20290774.72,21805042.42,110540126.33
KS,25298382.83,29476250.72,23639778.66
KY,19639358.93,9539617.64,9565550.49
LA,13214680.2,17200548.66,18819534.13
ME,8154925.41,17398185.93,14008616.43
MD,2074474749.89,2348721281.62,2102420508.68
MA,223742416.49,197666522.19,237648069.14
MI,36155043.64,35280129.56,43361379.71
MN,12348415.72,10420490.66,12299969.41
MS,229844793.79,237776061.27,277385007.68
MO,30345137.62,27381699.36,31087613.04
MT,16114225.43,13024146.08,14855022.84
NE,27298283.84,2618831.88,3218999.66
NV,5003349.73,5193699.46,12977799.01
NH,34115589.09,36465545.5,31371328.16
NJ,41536784.46,33346901.94,41393172.74
NM,18723044.69,17562255.52,19673240.44
NY,123019006.81,128533591.15,154555724.57
NC,20752354.53,19915372.96,17980601.92
ND,3386690.04,3736879.78,4348404.28
OH,219648674.44,214458974.35,240906474.19
OK,8132156.08,32490510.49,31459214.04
OR,16693700.68,17344139.66,13471197.44
PA,74142199.7,116054679.86,168988416.89
RI,9199207.33,7752145.01,6098118.09
SC,11273316.03,7263995.89,6626531.61
SD,3299132.62,3711839.84,5849551.96
TN,34841556.5,35509796.43,27101594.91
TX,1535931375.36,1458895096.52,1321217738.97
UT,100946800.72,147704625.6,160034471.4
VT,4933773.06,2711548.86,2340614.82
VA,1386282954.79,1428680775.11,1086557133.62
WA,563990940.83,497536373.17,94916123.97
WV,45259339.04,46293750.65,52656495.92
WI,23746579.93,21009211.12,27849452.45
WY,2949764.83,2625207.35,2585062.04
