state,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
AL,2609039.8,2155252.0,618088.68
AK,2792255.0,2735600.86,2455565.23
AZ,1866078.0,1056488.27,870594.68
AR,911102.23,1781358.58,985227.02
CA,5879346.29,5471249.72,4144335.04
CO,1794992.99,910000.0,1099682.0
CT,812470.8,908176.64,848724.99
DE,2437532.83,1486403.3,3514702.19
FL,4533473.3,4322334.88,4109564.17
GA,1812471.68,1689273.86,940395.0
HI,1788584.96,2290830.4,2817745.34
ID,2059980.66,1960000.0,1791456.02
IL,1278202.84,1953768.72,2044973.4
IN,1029012.7,910000.0,1049998.0
IA,2003649.61,2202318.0,1749999.94
KS,2004888.99,946546.5,1406013.22
KY,2199883.84,1625449.73,999933.21
LA,1462550.25,2117792.75,1809966.19
ME,1087365.33,1110000.0,1731563.16
MD,2948770.4,2581784.47,2722635.74
MA,2992743.76,1405022.0,849544.46
MI,1842875.27,1039879.46,784144.5
MN,900321.91,910000.0,799999.98
MS,1523141.84,2277054.32,1779296.77
MO,1448838.99,1493926.0,1633106.0
MT,1278911.49,1349999.0,1999849.0
NE,1368671.0,1458062.09,988996.27
NV,2552588.76,2528953.5,2176518.89
NH,1110000.0,1110000.0,1993199.0
NJ,1224801.0,2362969.26,2412253.49
NM,3132963.1,2058021.07,1460260.06
NY,1903612.0,2191290.0,2536052.0
NC,2840344.5,2807071.8,2885567.45
ND,1680367.78,1698985.38,1254867.39
OH,1589481.79,1396538.29,1850857.75
OK,1436227.08,2050026.67,1592664.27
OR,989735.0,948432.0,800000.0
PA,1229637.42,2709354.0,881101.18
RI,2059662.96,1391124.0,998793.34
SC,1554081.87,1325071.25,1059380.76
SD,1944079.76,1960000.0,1000000.0
TN,879172.0,1250995.62,1177146.0
TX,7093113.83,5194849.63,6469474.78
UT,1044061.23,983920.0,800000.0
VT,1857880.14,1098176.39,1249394.83
VA,7126881.72,6205954.75,6270004.5
WA,1893071.16,910000.0,1227616.99
WV,2042090.47,2219679.41,1702242.09
WI,1607325.0,1758865.0,1550000.0
WY,2059371.82,1209959.83,1750000.0
DC,45479200.78,46306318.36,38374804.54
