state,fy_2024_obligations,fy_2023_obligations,fy_2025_obligations
AL,80406122.84,75371659.22,94022530.85
AK,20758656.7,22240915.05,20715676.79
AZ,110613522.2,110038710.19,148877165.12
AR,416068.0,1319941.0,189085.2
CA,2596196674.4900002,3006176977.88,2718504532.79
CO,221807372.18,293885471.05,252634484.07000002
CT,4428725.66,3395857.24,4668108.39
DE,5005641.1,6057872.15,5890548.49
FL,78544137.15,99089039.42999999,110517588.50999999
GA,7820798.81,8178831.15,14145802.49
HI,27191876.83,27827610.86,33116382.65
ID,2298461.9,2666429.02,3273126.13
IL,22149878.87,28984571.77,25911319.79
IN,2540866.2,4995441.83,9479793.52
IA,12413404.13,17427491.12,29143720.08
KS,2314779.76,1697132.89,1927462.85
KY,5994998.39,1045951.38,6776332.14
LA,3588060.05,2585380.95,4453133.96
ME,4664670.74,15912279.71,5460421.64
MD,1593500499.4499998,1740391781.1499999,1721471994.98
MA,192390634.46,149740810.18,150412245.10000002
MI,30008264.02,26100785.61,35349023.620000005
MN,6416404.45,3106356.43,9949361.17
MS,5042396.19,5926220.18,3813493.46
MO,12194204.38,10773053.76,13808463.2
MT,4893700.78,6934447.0200000005,3551349.47
NE,1137271.3,466394.0,632564.53
NV,1882000.28,3037683.38,4536278.59
NH,17259753.85,72056940.88,35394226.480000004
NJ,25105057.55,19495036.61,11917285.84
NM,7607057.6899999995,20090181.57,6484372.12
NY,92025191.12,94852258.23,49002169.03
NC,9092912.15,4423764.36,12238757.15
ND,346983.0,453885.0,452129.01
OH,27582437.9,24020627.860000003,29356647.630000003
OK,4939392.43,27820629.51,3519359.28
OR,10085853.79,9052838.8,8943982.89
PA,11873509.32,71627008.62,30638079.84
RI,6987368.4,4293494.3,4588859.51
SC,7883761.29,2313681.72,5215157.06
SD,544819.16,724818.95,928671.0
TN,81052528.15,84584052.61,64914322.46
TX,304882519.94,323796985.08,338976197.6
UT,8205080.74,10063379.91,14576997.54
VT,323978.0,454857.0,812313.0
VA,328823252.99,243993481.5,340661985.9
WA,24674525.65,20600461.45,31761503.92
WV,1868698.35,3560553.81,4002800.76
WI,17211904.93,13111079.43,19371113.38
WY,1120086.0,288544.53,961123.0
DC,98394503.86,84950305.04,94856052.37
PR,1552822.21,963761.97,909662.34
VI,0.0,0.0,0.0
GU,0.0,0.0,0.0
MP,0.0,0.0,0.0
AS,0.0,0.0,0.0
INTL,7261131.82,15921141.52,7912298.59
