state,fy_2022_obligations,fy_2023_obligations,fy_2024_obligations
AL,593917283.77,506275297.04,478533711.93
AK,0.0,0.0,0.0
AZ,6103299.49,9071087.26,11530058.18
AR,999752.0,805147.0,910000.0
CA,646446307.7,647843276.03,603693890.08
CO,72052510.32,74231986.99,83811528.59
CT,6488815.37,4454602.88,3187137.12
DE,4585667.26,5021225.14,4332897.71
FL,583595570.49,308627185.8,175826322.13
GA,6294988.29,9721583.13,6684279.22
HI,1149793.0,509246.0,1237455.0
ID,344220.0,0.0,0.0
IL,8210725.94,12091678.22,2816206.27
IN,8424826.44,11856185.99,5427986.96
IA,472891.94,1542996.43,1542165.0
KS,11557349.19,5833592.97,4877724.2
KY,941863.0,1150503.95,263659.0
LA,222972.0,464819.47,150017.0
ME,3397.68,3448495.03,-296929.16
MD,1162843223.8,1352379293.55,1102347252.83
MA,18697316.22,25593045.53,16533027.14
MI,10238034.15,5931820.66,7325675.64
MN,2591289.02,4027618.42,2358728.57
MS,181781565.98,155951928.47,153941806.4
MO,3646710.47,1985001.0,2150839.53
MT,3431182.57,8038698.12,10310785.53
NE,76543.0,223788.0,32940.0
NV,17694.25,-6065.78,0.0
NH,8670063.86,10970965.73,11655764.56
NJ,12347848.62,9496374.5,8605831.62
NM,4725767.53,2754299.67,1903091.38
NY,8008710.59,9152858.15,16638284.72
NC,7229685.85,7253832.22,5997840.18
ND,0.0,293092.0,352397.07
OH,72446483.75,53968779.79,35452474.63
OK,2582859.4,1123748.56,919292.0
OR,2966592.15,4700224.22,4020971.35
PA,31690403.18,27541411.73,35651654.75
RI,184071.12,193233.0,149671.0
SC,149198.73,306501.0,89346.81
SD,3192614.56,-25602.13,252418.0
TN,21263559.84,28953588.73,22412462.69
TX,191986202.54,187955175.14,202696461.12
UT,141124853.0,129125583.05,88677498.21
VT,749482.0,198450.0,2580313.0
VA,463075035.03,494935319.8,502496208.09
WA,39358815.7,21327372.83,25894711.12
WV,38442419.92,33252195.29,33792896.75
WI,4355823.83,2310154.62,991046.71
WY,305480.0,155316.0,547849.0
