Member,First Name,Last Name,Chamber,Party,State / District,Link,URL,Deadline,Comment,Submitted,Past Caucus Signatory,Caucus,Appropriator,Authorizer,NASA Center,Priority Ranking
Glenn Ivey,Glenn,Ivey,House,Democrat,MD-04,https://ivey.house.gov/services/appropriations-requests,https://docs.google.com/forms/d/e/1FAIpQLScaXXqX_XSWnv52BfcQ9p8rmgdlfHx4Ke0_7tXet5E9PVBxow/viewform,3/13/2026,Jack to reach out,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,14
Adam Schiff,Adam,Schiff,Senate,Democrat,CA,https://www.schiff.senate.gov/services/appropriations/,https://oampluspublic.senate.gov/public/login/82660590-dc6c-4903-9831-de2f5de2d8c4,4/3/2026,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,11
Judy Chu,Judy,Chu,House,Democrat,CA-28,https://chu.house.gov/services/appropriations,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmO8CCNXeW7lOn1fCM7nlfBxUNEFGTk4zTkhKWFhZTFZPVEUyRzVQVzkxUi4u&route=shorturl,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,11
Mark Kelly,Mark,Kelly,Senate,Democrat,AZ,https://forms.office.com/pages/responsepage.aspx?id=yQ08CVqFVEaBVDu8JMTbfrIRC7X83e1LkU061Qk1Xo9UNVpTUTM2MDBBVzJPV0ZUU0VIRkEzT1lHWi4u&route=shorturl,https://forms.office.com/pages/responsepage.aspx?id=yQ08CVqFVEaBVDu8JMTbfrIRC7X83e1LkU061Qk1Xo9UNVpTUTM2MDBBVzJPV0ZUU0VIRkEzT1lHWi4u&route=shorturl,3/20/2026,joint form for Senators Kelly and Gallego,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Kevin Mullin,Kevin,Mullin,House,Democrat,CA-15,https://kevinmullin.house.gov/contact/fy27-appropriations-requests/,https://airtable.com/apprYNgTcbCLqWcnA/pagS8LzyzzMbLTZlG/form,3/6/2026,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Julia Brownley,Julia,Brownley,House,Democrat,CA-26,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Ted Lieu,Ted,Lieu,House,Democrat,CA-36,https://lieu.house.gov/services/appropriations,https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmDpkNmVPj_9Lg6EEBtDTf6lUNTNRRkpXS0dLVDZCM1NMWFdFMjAxWTNTVi4u,3/6/2026,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Darren Soto,Darren,Soto,House,Democrat,FL-09,https://soto.house.gov/services/appropriations-requests,https://docs.google.com/forms/d/e/1FAIpQLSe0c7wIMT3Lz6w2rl0l0WCYjRZSVgARrC2N9wlNs3D2FVNkfw/viewform,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Frederica Wilson,Frederica,Wilson,House,Democrat,FL-24,https://docs.google.com/forms/d/e/1FAIpQLSeELav7qDzm8GIzwVmqi9Kf1EdxCthx-lJIGmtoEopvCt275Q/viewform,https://docs.google.com/forms/d/e/1FAIpQLSeELav7qDzm8GIzwVmqi9Kf1EdxCthx-lJIGmtoEopvCt275Q/viewform,TBD,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Sean Casten,Sean,Casten,House,Democrat,IL-06,https://docs.google.com/forms/d/e/1FAIpQLSdB6fWicCIjXtWWaQQv2P-LXwM94Demc5Vf1aXJKYOO2L3USA/viewform,https://docs.google.com/forms/d/e/1FAIpQLSdB6fWicCIjXtWWaQQv2P-LXwM94Demc5Vf1aXJKYOO2L3USA/viewform,3/9/2026,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Bill Foster,Bill,Foster,House,Democrat,IL-11,https://docs.google.com/forms/d/e/1FAIpQLScnLwK2rSJDr3UK9D1jv3Td5EqEu-sBkJXFRGITS6lke5xaqQ/viewform,https://docs.google.com/forms/d/e/1FAIpQLScnLwK2rSJDr3UK9D1jv3Td5EqEu-sBkJXFRGITS6lke5xaqQ/viewform,2/27/2026,Click here for subcommittee deadlines,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
James McGovern,James,McGovern,House,Democrat,MA-02,,,TBD,Email Isabella.Edo@mail.house.gov,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Wesley Bell,Wesley,Bell,House,Democrat,MO-01,https://docs.google.com/forms/d/e/1FAIpQLSeFK8jBboXlfIw86SAngV7VneR5ObtG2LFpRlvgZPST-MJbPg/viewform,https://docs.google.com/forms/d/e/1FAIpQLSeFK8jBboXlfIw86SAngV7VneR5ObtG2LFpRlvgZPST-MJbPg/viewform,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Donald Bacon,Donald,Bacon,House,Republican,NE-02,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10
Christopher Pappas,Christopher,Pappas,House,Democrat,NH-01,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,10
