state,fy_2023_obligations,fy_2024_obligations,fy_2025_obligations
AL,67880306.4,72874586.78,87395575.85
AK,21617660.05,20693115.95,20679580.06
AZ,110020293.28,91573522.2,132488717.72
AR,1319941.0,416068.0,189085.2
CA,2893603708.23,2420635949.84,2535422749.29
CO,270560779.68,192715866.06,226078201.58
CT,3395857.24,4428725.66,4668108.39
DE,6057872.15,5005641.1,5890548.49
FL,89814358.88,70442775.28,102120868.19
GA,8178831.15,7820798.81,14143022.49
HI,22849190.86,19624004.83,24717226.65
ID,2666429.02,2298461.9,3273126.13
IL,26255863.33,20621149.18,24602937.91
IN,4998041.83,6190568.2,10845231.52
IA,17427491.12,12413404.13,29143720.08
KS,1697132.89,2314779.76,1906568.85
KY,1045951.38,5994998.39,6776332.14
LA,2585380.95,3588060.05,4445263.96
ME,15912279.71,4664670.74,5460421.64
MD,1640728967.36,1525150630.33,1647233220.07
MA,149104078.18,190608066.24,149244771.8
MI,23057685.61,24634160.02,29749183.62
MN,3106356.43,6416404.45,9949361.17
MS,5926220.18,5042396.19,3813493.46
MO,10773053.76,12194204.38,13808463.2
MT,5867821.44,5021645.0,3551349.47
NE,466394.0,1137271.3,632564.53
NV,3017683.38,1832586.11,4437169.18
NH,19975902.88,16546999.85,31963525.48
NJ,19495036.61,25105057.55,11917285.84
NM,4101834.55,7588487.1,6484372.12
NY,94852258.23,92025191.12,49002169.03
NC,4423764.36,9092912.15,12238757.15
ND,453885.0,346983.0,452129.01
OH,16838227.42,23453649.7,19844417.5
OK,27820629.51,4939392.43,3519359.28
OR,9052838.8,10085853.79,8943982.89
PA,71627008.62,11873509.32,30638079.85
RI,4293494.3,6987368.4,4588859.51
SC,2313681.72,7883761.29,5215157.06
SD,724818.95,544819.16,928671.0
TN,26270845.54,20010554.7,25674338.72
TX,317624204.4,289533172.27,324031590.94
UT,10063379.91,8205080.74,14576997.54
VT,454857.0,323978.0,812313.0
VA,185495300.56,244895592.32,253033595.28
WA,20600461.45,24674525.65,31761503.92
WV,3560553.81,1868698.35,4002800.76
WI,13111079.43,17211904.93,19371113.38
WY,288544.53,1120086.0,961123.0
DC,105883742.04,131196676.2,122597686.99
