Division,Name,Formulation Start Date,Nation,LCC (M$)
Planetary Science,Able 1 (Pioneer 0),,United States of America (USA),
Planetary Science,Able 2 (Pioneer 1),,United States,
Planetary Science,Pioneer 2,,United States,
Planetary Science,Able 4B (Pioneer P-3),,United States,
Planetary Science,Pioneer 3,,United States,
Planetary Science,Pioneer 4,,United States,
Planetary Science,Pioneer 5,,United States,
Planetary Science,Able 5A (Pioneer P-30),,United States,
Planetary Science,Able 5B (Pioneer P-31),,United States,
Planetary Science,Ranger 1,,United States,
Planetary Science,Ranger 2,,United States,
Planetary Science,Ranger 3,,United States,
Planetary Science,Ranger 4,,United States,
Planetary Science,Mariner 1,,United States,
Planetary Science,Mariner 2,,United States,
Planetary Science,Ranger 5,,United States,
Planetary Science,Ranger 6,,United States,
Planetary Science,Ranger 7,,United States,
Earth Science,Nimbus,,,
Planetary Science,Mariner 3,,United States,
Planetary Science,Mariner 4,,United States,
Planetary Science,Ranger 8,,United States,
Planetary Science,Surveyor Model SD-1,,United States of America (USA),
Planetary Science,Ranger 9,,United States,
Planetary Science,Surveyor Model 1,,United States,
Planetary Science,Pioneer 06,,United States of America (USA),
Earth Science,ESSA,,,
Planetary Science,Surveyor Model 2,,United States of America (USA),
Planetary Science,Surveyor 1,,United States,
Planetary Science,Explorer 33,,United States,
Planetary Science,Lunar Orbiter 1,,United States,
Planetary Science,Pioneer 7,,United States,
Planetary Science,Surveyor 2,,United States,
Planetary Science,Lunar Orbiter 2,,United States,
Planetary Science,Lunar Orbiter 3,,United States,
Planetary Science,Surveyor 3,,United States,
Planetary Science,Lunar Orbiter 4,,United States,
Planetary Science,Mariner 5,,United States,
Planetary Science,Surveyor 4,,United States,
Planetary Science,Explorer 35,,United States,
Planetary Science,Lunar Orbiter 5,,United States,
Planetary Science,Surveyor 5,,United States,
Planetary Science,Surveyor 6,,United States,
Planetary Science,Pioneer 8,,United States,
Planetary Science,Surveyor 7,,United States,
Planetary Science,Pioneer 9,,United States,
Astrophysics,OAO 2,,United States,
Planetary Science,Mariner 6,,United States,
Planetary Science,Mariner 7,,United States,
Planetary Science,Pioneer-E,,United States,
Earth Science,Aquarius,,United States,
Planetary Science,Mariner 8,,United States,
Planetary Science,Mariner 9,,United States,
Planetary Science,Pioneer 10,,United States,
Astrophysics,OAO 3,,United States,
Planetary Science,Pioneer 11,,United States,
Planetary Science,Explorer 49,,United States,
Heliophysics,IMP-8,,United States,
Planetary Science,Mariner 10,,United States,
Heliophysics,Helios 1,,United States,
Planetary Science,Viking 1,,United States,
Planetary Science,Viking 2,,United States,
Earth Science,SMS,,United States,
Heliophysics,Helios 2,,United States,
Earth Science,LAGEOS,,United States,
Planetary Science,Voyager 2,,United States,
Planetary Science,Voyager 1,,United States,
Astrophysics,IUE,,United States / Europe / UK,
Planetary Science,Pioneer Venus 1,,United States,
Earth Science,Seasat 1,,United States,
Planetary Science,Pioneer Venus 2,,United States,
Heliophysics,ISEE-3/ICE,,United States of America (USA),
Earth Science,Dynamics Explorer,,United States,
Earth Science,ERBS,,United States,
Planetary Science,Sakigake,,Japan,
Earth Science,Geosat,,United States,
Planetary Science,Giotto,,International,
Earth Science,MOS,,Japan,
Planetary Science,Magellan,,France,
Astrophysics,Hipparcos,,International,
Planetary Science,Galileo,,United States,
Astrophysics,COBE (Cosmic Background Explorer),,United States,
Planetary Science,Hiten / Hagoromo,,"Institute of Space and Aeronautical Science (ISAS), Japan",
Astrophysics,Hubble Space Telescope,,United States,
Astrophysics,ROSAT,,Federal Republic of Germany,
Heliophysics,Ulysses,,International,
Astrophysics,CGRO,,United States,
Heliophysics,Yohkoh,,Japan,
Earth Science,UARS,,United States,
Astrophysics,EUVE,,United States,
Heliophysics,SAMPEX,,United States,
Earth Science,Geotail,,Japan,
Heliophysics,Geotail,,Japan,
Earth Science,TOPEX/Poseidon,,France,
Planetary Science,Mars Observer,,France,
Astrophysics,ASCA,,United States,
Planetary Science,Clementine,,United States,
Heliophysics,Wind,,United States,
Earth Science,RADARSAT-1,,United States,
Astrophysics,ISO,,International,
Heliophysics,SOHO,,International,
